PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s,TEAM
Smriti Mandhana,9,9,377,53.86,153.25,57,9,Royal Challengers Bengaluru Women
Harmanpreet Kaur,8,8,342,68.4,150.66,36,13,Mumbai Indians Women 
Nat Sciver-Brunt,7,7,321,64.2,151.42,48,4,Mumbai Indians Women 
Lizelle Lee,10,10,320,32,139.13,46,11,Delhi Capitals Women
Laura Wolvaardt,10,10,317,45.29,135.47,31,8,Delhi Capitals Women
Jemimah Rodrigues,10,10,264,33,141.94,33,2,Delhi Capitals Women
Shafali Verma,10,10,259,25.9,125.12,39,4,Delhi Capitals Women
Beth Mooney,9,9,258,32.25,122.27,28,2,Gujarat Giants Women
Meg Lanning,8,8,248,31,125.25,37,5,UP Warriorz Women
Ashleigh Gardner,9,9,244,27.11,141.86,26,8,Gujarat Giants Women
Sophie Devine,9,9,243,30.38,148.17,24,13,Gujarat Giants Women
Phoebe Litchfield,6,6,243,40.5,154.78,30,10,UP Warriorz Women
Grace Harris	,9,9,237,26.33,178.2,38,8,Royal Challengers Bengaluru Women
Richa Ghosh,9,9,189,31.5,151.2,18,11,Royal Challengers Bengaluru Women
Georgia Wareham,8,8,178,35.6,144.72,13,8,Gujarat Giants Women